@relation weather

@attribute MaxTemp numeric
@attribute MeanTemp numeric
@attribute MinTemp numeric
@attribute MaxHumidity numeric
@attribute MeanHumidity numeric
@attribute MinHumidity numeric
@attribute WindSpeed numeric
@attribute CloudCover numeric
@attribute play {yes,no}
@data
36,27,19,94,43,14,21,?,yes
37,28,20,83,38,10,19,?,yes
37,28,19,78,33,11,19,?,yes
37,28,20,88,40,13,21,?,yes
37,29,21,88,42,15,19,1,yes
36,29,23,78,44,22,14,3,yes
37,30,23,69,39,19,21,3,no
37,29,22,83,37,10,24,?,no
38,29,20,78,37,14,26,?,no
37,29,21,73,37,12,27,3,no
37,28,19,88,39,12,26,?,yes
36,28,20,78,35,14,26,?,no
38,29,21,64,32,14,24,?,yes
38,29,21,68,34,17,21,?,yes
38,30,23,65,36,17,16,1,no
31,24,19,100,68,35,19,2,yes
31,26,20,100,66,35,19,2,yes
33,26,18,100,57,21,16,?,no
33,26,18,100,53,23,16,2,no
34,24,16,94,47,14,14,?,yes
33,24,16,82,41,16,16,1,yes
33,24,15,88,41,15,16,?,yes
34,26,17,82,42,16,19,1,no
34,24,16,82,42,17,13,?,yes
34,27,20,69,47,26,11,2,yes
33,26,19,83,48,23,19,1,yes
32,26,19,88,52,24,19,1,no
32,26,21,88,57,36,16,2,yes
33,27,22,100,68,31,14,3,yes
32,26,21,100,65,33,11,3,yes
31,27,24,89,57,40,13,3,no
33,27,22,89,55,28,21,2,no
31,26,22,100,73,46,24,2,no
32,27,22,94,68,40,21,3,no
31,26,22,100,71,43,14,3,yes
33,27,20,100,69,38,21,3,yes
34,27,21,100,64,28,14,2,yes
33,27,20,100,59,27,14,1,yes
32,26,20,100,70,31,26,3,no
31,27,24,94,69,43,23,3,no
34,28,23,94,58,19,16,2,no
34,27,20,100,56,21,16,2,no
34,28,22,100,67,36,21,2,yes
35,28,20,83,44,20,19,1,yes
35,28,20,88,48,20,26,1,no
34,27,19,88,47,18,21,?,yes
35,28,21,83,47,19,16,2,no
33,28,23,94,62,36,27,2,yes
34,28,22,100,56,23,21,2,no
35,28,22,88,43,18,21,1,no
34,28,23,78,43,23,21,2,no
34,28,23,69,43,21,16,2,yes
34,28,22,73,43,20,21,2,no
33,27,20,83,42,21,16,2,no
34,28,22,94,58,26,21,2,yes
33,27,22,83,62,34,27,2,no
32,27,23,88,61,33,27,2,yes
33,27,22,94,61,34,16,2,yes
33,28,23,94,61,29,21,3,no
34,28,22,100,57,24,16,2,yes
34,28,23,88,55,29,19,2,no
34,28,22,94,61,28,23,5,yes
36,28,21,94,48,17,26,2,no
35,28,21,94,49,20,24,1,yes
36,29,22,88,46,19,21,1,yes
35,29,23,88,57,26,21,3,yes
35,29,23,83,59,28,19,3,no
34,28,23,88,57,32,19,2,yes
34,28,23,100,57,31,14,2,yes
34,28,23,88,52,24,14,3,yes
35,28,20,100,63,32,47,2,yes
34,28,22,88,63,34,23,3,no
34,28,22,88,65,32,34,3,no
34,28,22,88,60,30,26,3,no
31,26,22,88,66,43,34,4,no
31,26,22,94,63,35,21,5,yes
31,26,22,94,57,33,26,3,yes
33,27,22,78,51,26,24,1,yes
33,27,22,73,47,24,26,2,yes
35,28,22,73,47,25,24,2,no
36,29,23,94,51,25,26,3,yes
34,28,23,94,69,34,26,4,yes
33,26,19,100,78,46,29,3,yes
33,27,21,88,62,31,21,3,no
34,27,21,100,68,41,35,2,no
34,27,21,94,62,34,26,2,yes
34,28,23,94,58,28,32,2,yes
31,26,22,69,48,33,32,4,yes
33,28,23,88,60,36,34,3,yes
30,26,21,83,64,45,27,3,yes
31,26,22,88,69,46,34,3,yes
31,26,21,100,72,45,24,4,no
31,26,22,100,76,45,27,4,yes
29,24,21,100,85,55,29,4,no
38,32,26,94,50,25,21,2,no
38,33,28,66,47,27,24,3,yes
37,31,26,94,57,25,27,3,no
37,31,25,89,56,28,24,3,no
36,31,26,89,60,32,24,3,no
33,29,26,94,76,49,29,3,no
32,28,25,100,76,52,27,5,no
31,27,24,100,87,62,34,6,yes
31,27,24,100,82,62,34,5,no
36,30,24,100,68,39,21,2,no
37,31,26,94,57,28,19,2,no
38,31,25,89,47,24,14,3,no
38,32,27,70,42,25,21,3,no
37,32,27,79,43,24,24,2,yes
37,31,26,78,44,22,19,3,yes
37,31,26,83,46,22,19,2,no
36,31,26,84,62,19,32,3,no
37,31,26,94,57,30,16,3,no
39,32,25,100,60,24,23,3,no
36,27,18,100,81,39,55,5,yes
35,29,24,100,70,41,29,3,no
36,31,26,89,63,37,24,1,yes
37,31,26,94,60,30,24,2,yes
37,32,28,84,56,29,26,2,yes
36,29,23,89,58,32,26,3,yes
36,31,26,94,63,41,23,2,no
37,31,24,100,73,39,27,3,yes
35,29,23,100,71,38,23,4,yes
36,30,25,94,62,34,27,3,no
36,30,25,94,63,34,23,3,no
37,31,25,94,62,37,34,3,yes
26,23,21,100,88,65,27,4,yes
27,23,21,100,84,61,32,5,yes
28,24,20,94,82,58,26,6,yes
28,24,20,94,75,54,26,4,no
30,26,21,100,72,48,23,3,yes
29,26,22,88,75,55,24,4,yes
29,26,22,88,72,51,34,3,no
28,24,21,88,71,54,35,4,yes
28,24,21,88,68,48,42,4,no
28,24,20,94,72,54,39,3,no
27,24,22,94,78,61,32,4,no
27,23,21,88,76,54,37,6,yes
29,24,21,88,68,40,42,6,no
28,24,21,88,70,51,47,4,no
30,26,21,88,70,40,40,3,yes
28,24,22,88,72,54,37,4,yes
28,24,21,88,74,54,39,5,no
28,24,21,88,70,51,39,4,yes
29,24,21,88,71,51,34,3,yes
29,24,21,88,73,48,27,4,yes
29,24,21,94,73,48,27,4,no
30,26,21,94,76,45,35,3,no
29,24,20,94,70,48,35,3,yes
26,23,21,100,81,61,37,4,no
26,23,21,94,80,65,37,5,no
29,24,21,94,80,55,29,5,no
29,24,21,100,78,51,32,4,yes
29,24,20,94,74,48,27,4,no
28,24,20,94,70,48,29,4,yes
29,24,20,88,68,45,34,4,yes
37,30,24,100,63,32,23,2,yes
37,30,23,100,71,37,50,3,no
32,28,24,100,80,55,21,4,yes
34,29,25,100,71,49,21,2,yes
34,30,26,94,71,46,24,2,no
34,28,23,100,76,55,39,3,yes
34,30,26,94,72,52,24,3,yes
35,30,26,94,73,49,27,3,yes
32,29,26,89,74,59,34,4,yes
32,29,26,84,68,55,37,5,yes
34,30,26,89,67,46,34,2,no
34,29,25,100,72,44,34,3,no
34,29,25,94,72,46,50,4,yes
33,28,24,94,69,46,39,3,no
33,29,25,89,68,49,32,3,no
34,29,24,94,63,36,34,2,no
33,28,24,94,69,46,35,4,no
32,29,26,89,71,49,45,4,yes
33,29,25,94,72,46,39,5,yes
33,29,25,89,68,49,40,3,no
34,29,25,89,69,44,40,4,yes
34,29,25,89,68,41,37,4,yes
34,29,24,100,68,46,32,3,yes
35,30,25,89,62,36,29,2,no
34,29,25,89,61,36,29,2,yes
35,29,24,89,58,34,27,1,no
35,30,26,89,59,36,23,2,no
36,30,25,100,73,39,29,4,yes
34,29,25,100,79,49,23,3,no
34,30,26,94,75,46,39,4,no
29,24,20,100,70,45,35,3,yes
29,24,20,100,78,48,34,5,yes
26,23,20,100,83,61,39,6,no
28,24,20,100,78,54,29,4,no
28,24,21,94,75,54,26,4,yes
29,24,21,94,73,48,32,4,yes
27,23,21,94,74,57,29,5,yes
29,24,21,88,68,45,34,5,no
28,24,21,88,75,54,29,4,no
27,23,20,94,79,58,29,6,yes
27,23,20,94,82,61,29,6,no
26,23,21,94,79,65,34,4,no
27,23,21,100,80,61,34,4,no
27,23,21,94,78,61,24,4,yes
28,24,20,100,84,54,29,5,no
27,23,21,100,85,58,27,5,yes
26,23,21,94,82,65,35,5,no
27,23,21,94,80,61,34,5,yes
26,23,20,100,84,65,37,6,no
27,23,21,100,88,65,29,6,yes
26,23,20,100,86,69,32,6,yes
26,23,21,94,82,65,35,6,no
26,23,20,94,80,61,42,5,yes
27,23,21,88,78,58,40,6,yes
29,24,21,88,70,48,48,5,no
27,23,21,88,73,58,35,6,yes
27,23,20,94,77,61,32,6,yes
27,23,20,100,80,61,27,6,yes
25,22,20,94,80,65,35,6,yes
27,23,19,88,75,58,42,5,yes
25,22,20,88,76,65,48,4,no
34,29,25,100,71,44,24,3,no
34,29,25,94,70,46,27,3,no
34,29,24,94,63,41,26,3,no
33,28,24,89,67,46,27,2,no
32,28,24,94,74,55,32,4,yes
30,28,25,94,83,66,24,5,no
32,28,25,94,79,55,24,4,no
31,27,24,89,74,58,32,5,no
32,28,24,100,80,55,45,4,no
31,27,23,100,87,58,37,6,yes
31,27,24,100,80,55,42,6,yes
33,28,24,94,77,43,40,5,no
29,27,24,100,89,74,34,6,no
31,28,25,100,79,55,35,5,yes
30,28,25,89,79,62,40,6,no
32,28,24,94,75,55,42,4,yes
32,28,24,94,72,52,45,4,yes
32,28,24,89,73,52,39,4,no
31,28,25,89,77,58,39,5,no
32,28,25,89,73,52,45,4,yes
32,28,25,89,72,52,45,4,no
33,29,25,89,74,43,42,5,yes
32,28,24,94,79,49,45,4,no
32,28,24,94,73,49,39,4,yes
33,28,24,100,82,55,32,4,yes
34,29,25,100,80,49,29,3,no
33,28,24,94,82,59,27,4,no
32,28,24,94,76,46,32,5,no
33,28,24,94,67,46,45,4,no
32,28,24,89,75,52,47,5,yes
32,28,25,89,76,55,35,5,no
26,23,21,83,78,61,47,6,no
28,24,21,88,74,54,42,4,no
27,23,21,100,80,58,37,5,yes
29,24,21,100,72,51,27,4,yes
26,23,21,94,80,57,27,6,no
27,23,20,94,76,54,32,4,yes
28,24,20,94,74,54,26,4,no
28,24,21,88,69,51,24,4,no
28,24,21,88,71,54,26,4,no
27,23,20,94,76,54,24,4,yes
29,24,20,100,79,48,26,4,yes
27,23,20,94,75,58,24,4,yes
26,23,20,100,82,61,32,5,yes
25,22,20,100,92,74,27,6,no
24,21,19,100,92,78,27,6,no
26,23,20,100,92,69,24,6,no
27,23,20,100,84,61,32,5,yes
27,23,20,100,83,61,29,5,yes
26,23,20,100,80,61,35,6,yes
26,23,20,94,85,61,39,5,yes
28,24,20,100,79,51,34,4,no
29,24,19,100,75,45,37,3,yes
27,23,20,94,81,58,35,4,yes
26,22,19,100,81,61,26,4,no
27,23,19,100,81,54,27,4,no
28,23,19,100,74,51,23,3,no
28,23,19,100,72,48,19,3,yes
29,24,20,100,73,48,14,3,yes
29,24,21,94,70,48,19,3,yes
30,26,22,88,67,45,13,3,yes
28,24,22,100,82,58,11,5,yes
32,28,25,100,79,55,35,3,yes
32,28,25,89,75,55,35,4,yes
33,28,24,94,79,49,42,4,yes
32,28,25,100,82,55,34,3,no
31,27,24,94,77,58,35,4,yes
32,28,24,94,73,52,39,4,no
32,28,25,89,75,52,29,5,no
31,28,25,100,82,58,29,5,yes
32,28,24,94,83,55,26,6,yes
32,28,24,100,82,55,27,5,yes
32,28,24,100,79,55,32,5,yes
31,27,24,100,79,55,32,4,yes
31,27,24,100,80,55,29,5,no
33,28,24,100,72,49,32,4,yes
33,28,23,100,76,43,26,3,yes
32,28,24,94,70,49,23,3,yes
32,28,24,94,71,49,23,3,no
31,27,24,100,84,55,19,5,no
34,28,23,100,85,44,24,5,no
36,30,23,100,83,39,34,4,yes
35,29,23,100,81,44,29,4,yes
35,29,24,100,77,46,23,4,no
33,28,24,100,78,49,23,4,no
32,28,25,94,76,55,24,3,yes
32,28,24,94,75,55,27,3,no
32,28,25,94,74,52,32,4,no
28,26,23,100,84,66,26,6,yes
29,27,24,94,78,62,37,6,no
30,27,23,94,78,62,37,5,yes
30,27,24,89,77,58,37,5,no
31,27,23,100,79,58,42,4,yes
31,26,20,100,76,40,24,3,no
30,24,19,100,84,51,32,4,yes
29,24,19,100,87,54,23,5,no
26,23,20,100,86,65,21,6,no
27,23,20,100,83,61,23,4,no
27,23,20,100,80,58,19,5,yes
24,22,20,100,85,73,23,5,yes
25,22,19,100,95,69,19,6,no
24,22,20,100,92,78,19,6,yes
26,23,20,100,89,69,23,5,yes
24,22,20,100,93,78,23,6,yes
25,22,20,100,92,74,16,6,no
26,23,20,100,91,69,26,4,yes
28,24,21,100,90,62,21,6,no
28,24,21,100,84,61,21,5,yes
28,24,21,94,79,62,26,4,no
27,23,21,100,85,61,23,5,yes
28,24,21,100,81,58,34,4,yes
28,24,21,94,80,58,29,4,no
26,23,21,100,89,74,29,6,no
27,23,21,94,83,61,29,5,yes
27,23,20,94,76,54,34,4,yes
28,23,19,94,70,45,32,2,no
28,24,20,94,73,54,24,2,yes
27,22,18,100,76,58,23,3,no
29,24,19,100,70,40,21,2,no
29,24,20,94,68,42,21,2,no
27,23,21,94,75,51,24,3,no
28,23,19,100,72,45,26,3,no
27,23,19,94,79,58,26,4,no
31,27,24,100,81,58,37,5,no
31,27,24,94,79,58,29,5,no
31,27,23,100,80,58,24,5,yes
30,27,24,94,75,58,32,6,yes
32,28,24,100,78,55,32,6,no
31,27,24,100,82,55,34,5,no
31,27,24,100,79,58,32,4,yes
32,27,23,100,74,49,35,2,yes
33,27,22,100,70,41,32,3,yes
33,27,22,100,70,38,27,3,yes
33,28,23,100,67,41,24,2,no
34,28,23,100,68,41,24,2,no
32,28,24,89,68,46,26,3,yes
32,28,24,94,74,49,29,3,yes
33,28,24,94,74,46,29,3,yes
32,28,24,94,74,49,35,4,no
33,28,24,94,76,59,26,4,yes
31,27,23,100,75,43,24,5,yes
31,26,21,100,79,58,26,5,yes
29,27,24,100,84,66,26,5,yes
31,27,23,100,82,58,19,4,no
32,28,25,100,76,55,14,4,yes
34,29,24,100,77,49,16,5,yes
34,29,25,100,83,49,23,5,yes
33,28,23,100,84,52,24,4,no
33,28,23,100,83,52,26,4,no
34,29,24,100,77,43,19,3,no
33,28,24,100,86,55,23,4,no
33,28,23,100,85,52,19,3,yes
34,29,24,100,85,59,19,3,no
28,24,20,100,78,54,23,4,no
29,24,21,94,75,48,21,3,no
28,24,21,94,74,51,23,5,yes
29,24,19,88,65,45,27,3,yes
27,22,18,94,68,45,27,5,no
28,24,20,88,71,54,26,4,yes
29,24,21,100,76,54,21,4,yes
26,23,20,100,85,69,24,5,yes
28,23,19,100,82,54,26,4,yes
28,24,20,100,80,51,23,4,no
28,24,20,100,74,48,23,3,yes
28,23,18,94,71,45,27,3,no
28,24,20,94,76,54,27,3,yes
29,24,20,100,75,51,24,3,no
27,23,21,100,82,61,16,4,yes
28,24,21,100,85,54,24,3,yes
29,24,21,100,80,48,16,3,yes
29,24,20,100,79,48,16,4,yes
29,24,20,100,83,48,14,3,no
26,23,20,100,82,61,13,6,yes
25,22,20,100,94,73,24,6,no
24,22,20,100,97,83,16,6,yes
24,22,20,100,96,83,16,6,no
26,23,20,100,90,69,23,6,no
